SheepID,Sex,Year_,Month_,Day_
21F,F,2010,1,9
21F,F,2010,1,10
21F,F,2010,1,10
21F,F,2010,1,11
21F,F,2010,1,11
21F,F,2010,1,12
21F,F,2010,1,12
21F,F,2010,1,12
21F,F,2010,1,13
21F,F,2010,1,13
21F,F,2010,1,14
21F,F,2010,1,14
21F,F,2010,1,14
21F,F,2010,1,15
21F,F,2010,1,15
21F,F,2010,1,16
21F,F,2010,1,16
21F,F,2010,1,17
21F,F,2010,1,17
21F,F,2010,1,17
21F,F,2010,1,18
21F,F,2010,1,18
21F,F,2010,1,19
21F,F,2010,1,19
21F,F,2010,1,19
21F,F,2010,1,20
21F,F,2010,1,20
21F,F,2010,1,21
21F,F,2010,1,23
21F,F,2010,1,23
21F,F,2010,1,24
21F,F,2010,1,24
21F,F,2010,1,24
21F,F,2010,1,25
21F,F,2010,1,25
21F,F,2010,1,26
21F,F,2010,1,26
21F,F,2010,1,27
21F,F,2010,1,27
21F,F,2010,1,27
21F,F,2010,1,28
21F,F,2010,1,28
21F,F,2010,1,29
21F,F,2010,1,29
21F,F,2010,1,29
21F,F,2010,1,30
21F,F,2010,1,30
21F,F,2010,1,31
21F,F,2010,1,31
21F,F,2010,2,1
21F,F,2010,2,1
21F,F,2010,2,1
21F,F,2010,2,2
21F,F,2010,2,2
21F,F,2010,2,3
21F,F,2010,2,3
21F,F,2010,2,3
21F,F,2010,2,4
21F,F,2010,2,4
21F,F,2010,2,5
21F,F,2010,2,5
21F,F,2010,2,6
21F,F,2010,2,6
21F,F,2010,2,6
21F,F,2010,2,7
21F,F,2010,2,7
21F,F,2010,2,8
21F,F,2010,2,8
21F,F,2010,12,15
21F,F,2010,12,15
21F,F,2010,12,15
21F,F,2010,12,16
21F,F,2010,12,16
21F,F,2010,12,17
21F,F,2010,12,21
21F,F,2010,12,21
21F,F,2010,12,22
21F,F,2010,12,22
21F,F,2010,12,23
21F,F,2010,12,23
21F,F,2010,12,23
21F,F,2010,12,24
21F,F,2010,12,24
21F,F,2010,12,25
21F,F,2010,12,25
21F,F,2010,12,25
21F,F,2010,12,26
21F,F,2010,12,26
21F,F,2010,12,27
21F,F,2010,12,27
21F,F,2010,12,28
21F,F,2010,12,28
21F,F,2010,12,30
21F,F,2010,12,30
21F,F,2010,12,30
21F,F,2010,12,31
21F,F,2010,12,31
21F,F,2011,1,1
21F,F,2011,1,2
21F,F,2011,1,2
21F,F,2011,1,2
21F,F,2011,1,3
21F,F,2011,1,3
21F,F,2011,1,4
21F,F,2011,1,4
21F,F,2011,1,4
